2,36,35
1,42,38
0,45,38
0,49,40
0,51,42
0,50,43
0,53,45
1,54,46
0,54,48
0,55,46
0,57,51
2,59,50
0,60,52
0,60,52
0,61,53
0,62,53
2,65,57
0,65,57
1,75,60
12,84,6
19,97,7
30,113,0
36,131,0
43,145,0
45,159,0
52,167,0
59,175,0
60,176,0
55,170,0
50,165,0
49,160,0
44,154,0
38,149,0
39,145,0
36,140,0
30,134,0
32,126,0
29,123,0
27,119,0
25,113,0
21,107,0
17,103,0
10,98,7
3,92,67
3,87,66
4,85,66
1,83,62
3,82,63
9,83,64
4,80,60
3,83,60
4,79,59
4,79,59
1,74,57
0,68,53
0,65,55
0,61,53
0,60,52
1,56,51
0,55,50
0,50,49
0,46,46
0,46,43
1,43,42
0,41,40
0,40,40
0,44,41
0,51,42
0,55,43
2,55,45
0,53,42
0,48,42
0,44,37
1,38,37
